stadium,date,time,home,guest
The Northolme,2021-03-12,06:25:09,Lebanon,Romania
The Northolme,2021-01-22,16:57:05,Ivory Coast,Mauritius
The Northolme,2021-04-02,18:30:32,Romania,Republic of Abkhazia
The Northolme,2021-04-26,18:30:45,Serbia,Benin
The Northolme,2020-12-31,08:46:29,Eritrea,Dominica
Stadion lichterfelde,2020-12-29,19:59:18,Qatar,Djibouti
Stadion lichterfelde,2021-04-18,10:45:45,Cyprus,Benin
Stadion lichterfelde,2021-04-01,10:15:15,Algeria,Israel
Stadion lichterfelde,2021-01-08,19:23:16,Guernsey,Saint Lucia
"Dinamo Stadium, Sukhumi",2021-02-15,09:15:09,Armenia,Nicaragua
"Dinamo Stadium, Sukhumi",2021-01-25,05:24:25,Malaysia,Czech Republic
"Dinamo Stadium, Sukhumi",2021-02-21,13:53:40,Bolivia,Ethiopia
"Dinamo Stadium, Sukhumi",2020-12-03,12:22:54,Guyana,Rwanda
"Dinamo Stadium, Sukhumi",2021-03-10,16:24:09,San Marino,Georgia
"Dinamo Stadium, Sukhumi",2020-12-02,11:19:42,Sudan,Saint Kitts and Nevis
Grundman Stadium,2021-05-15,21:45:24,Saint Lucia,Greece
Grundman Stadium,2020-12-25,18:46:34,Finland,Greenland
Grundman Stadium,2020-12-03,11:13:52,France,Switzerland
Grundman Stadium,2021-04-24,14:45:08,South Africa,Syria
Grundman Stadium,2021-05-19,09:25:08,Bhutan,Philippines
Grundman Stadium,2021-02-28,20:00:45,Cape Verde,Malta
Grundman Stadium,2021-01-15,21:55:41,Italy,Nicaragua
Grundman Stadium,2021-04-29,15:36:30,Burkina Faso,Germany
Grundman Stadium,2021-05-16,21:27:55,Sierra Leone,Rwanda
Grundman Stadium,2021-05-13,07:18:17,Democratic Republic of the Congo,Japan
Midgårdsvallen,2021-04-02,20:10:37,Grenada,North Korea
Midgårdsvallen,2021-01-30,08:33:56,Guernsey,Russia
Midgårdsvallen,2021-02-28,13:39:40,Philippines,Benin
Midgårdsvallen,2021-03-24,21:01:38,Ethiopia,Chile
Midgårdsvallen,2020-11-22,21:13:13,Sudan,Poland
Midgårdsvallen,2020-12-13,21:13:53,New Zealand,Sierra Leone
Midgårdsvallen,2021-05-15,01:05:43,Eritrea,Myanmar
Midgårdsvallen,2021-01-11,05:40:07,San Marino,Ghana
Midgårdsvallen,2020-12-04,13:24:02,France,Ghana
Stadio Lino Turina,2020-12-31,10:45:17,Slovakia,Nepal
Stadio Lino Turina,2021-01-16,06:23:51,Cuba,Kuwait
Stadio Lino Turina,2020-12-15,10:55:32,Mauritania,Albania
"Allan Park, Aberdeen",2021-05-19,04:53:50,Iraq,Algeria
"Allan Park, Aberdeen",2021-01-18,05:16:35,South Sudan,Denmark
"Allan Park, Aberdeen",2020-11-24,15:41:54,Italy,Poland
"Allan Park, Aberdeen",2021-01-18,06:59:48,Jordan,San Marino
"Allan Park, Aberdeen",2021-04-08,11:29:06,Dominican Republic,Czech Republic
Borough Park,2021-03-01,22:55:43,Serbia,Trinidad and Tobago
Borough Park,2021-04-18,20:50:07,Ghana,Austria
Borough Park,2021-05-12,13:57:16,Iraq,Thailand
Borough Park,2020-12-23,19:08:52,Cameroon,Uruguay
Druid Park,2020-12-29,17:32:46,Colombia,South Korea
Druid Park,2021-03-02,00:50:51,Sierra Leone,Venezuela
Druid Park,2020-11-30,19:33:54,Denmark,Rwanda
Druid Park,2021-01-16,13:48:13,Syria,Cyprus
Druid Park,2020-12-26,08:08:06,Syria,Kyrgyzstan
Druid Park,2021-01-11,15:49:38,United States of America,Iraq
Harmsworth Park,2021-04-13,03:28:05,Paraguay,Iceland
Harmsworth Park,2021-04-19,08:03:53,Costa Rica,Saudi Arabia
Harmsworth Park,2021-04-27,21:09:26,Singapore,Sweden
Harmsworth Park,2021-05-03,13:39:54,Mauritius,Saint Lucia
Harmsworth Park,2021-02-02,07:14:00,Libya,Cyprus
Harmsworth Park,2020-12-10,12:45:20,Austria,Nicaragua
Harmsworth Park,2021-04-26,06:16:40,Vietnam,Saint Vincent and the Grenadines
Harmsworth Park,2020-11-27,22:05:00,Rwanda,Myanmar
Harmsworth Park,2021-02-11,01:35:06,Liechtenstein,Colombia
Harmsworth Park,2021-05-04,04:35:02,Sudan,Russia
Estádio ADC Parahyba,2021-02-19,04:30:10,Saint Vincent and the Grenadines,Grenada
Estádio ADC Parahyba,2021-03-25,10:38:00,Suriname,Iran
Estádio ADC Parahyba,2021-04-27,23:23:14,Liberia,Eritrea
Estádio ADC Parahyba,2021-02-18,02:06:51,Singapore,Turkmenistan
Estádio ADC Parahyba,2021-02-19,17:59:50,Malaysia,Bangladesh
Estádio ADC Parahyba,2021-03-03,10:17:59,Guernsey,Austria
Estádio ADC Parahyba,2021-05-20,02:43:49,South Korea,Ghana
Estádio ADC Parahyba,2021-04-11,05:44:36,Argentina,Moldova
Estadio de Hanga Roa,2021-05-17,16:38:07,Moldova,Oman
Estadio de Hanga Roa,2020-12-14,14:21:17,Venezuela,Cuba
Estadio de Hanga Roa,2021-01-10,23:27:11,Colombia,Uruguay
Estadio de Hanga Roa,2021-01-17,00:53:39,Angola,Ethiopia
Estadio de Hanga Roa,2021-03-25,03:21:00,Mali,Saint Lucia
Estadio de Hanga Roa,2021-04-17,00:44:02,Antigua and Barbuda,Laos
Estadio de Hanga Roa,2021-02-04,09:48:32,Russia,Ukraine
Vizelj park,2021-03-26,17:09:16,Finland,Morocco
Vizelj park,2020-12-22,11:03:28,Jordan,Cyprus
Vizelj park,2021-04-01,05:00:30,Netherlands,Nicaragua
Vizelj park,2021-01-31,05:34:03,Nepal,Myanmar
Vizelj park,2021-01-09,04:11:35,Iraq,Burundi
Estádio Monte Pe Largo,2021-03-03,10:00:36,Zimbabwe,Finland
Estádio Monte Pe Largo,2021-01-08,01:49:12,Oman,Papua New Guinea
Estádio Monte Pe Largo,2021-01-11,11:45:40,South Sudan,Cyprus
Estádio Monte Pe Largo,2021-04-28,18:36:26,Saint Lucia,Democratic Republic of the Congo
Centennial Park Stadium,2021-05-04,19:14:11,Pakistan,Turkey
Centennial Park Stadium,2020-12-25,21:21:02,Mali,Sierra Leone
Centennial Park Stadium,2021-01-26,20:20:22,Algeria,Turkey
Centennial Park Stadium,2021-02-15,11:05:50,Ghana,Kenya
Centennial Park Stadium,2021-03-07,15:04:51,Singapore,Honduras
Centennial Park Stadium,2021-04-07,00:44:55,Greece,Canada
Mjøndalen Stadion,2021-01-02,21:17:38,Italy,Azerbaijan
Mjøndalen Stadion,2021-05-12,06:13:04,Cameroon,Benin
Mjøndalen Stadion,2021-03-15,14:39:47,Panama,Uzbekistan
Mjøndalen Stadion,2021-04-20,15:15:08,Mexico,Suriname
Mjøndalen Stadion,2021-04-07,03:44:34,Philippines,Israel
Leah Victoria Park,2021-04-09,22:29:55,Croatia,Cameroon
Leah Victoria Park,2021-01-31,02:54:39,Azerbaijan,Liberia
Leah Victoria Park,2020-12-27,05:10:06,Israel,Bangladesh
Leah Victoria Park,2020-12-08,12:43:30,Fiji,Benin
Leah Victoria Park,2021-04-07,03:11:48,Uzbekistan,Antigua and Barbuda
Leah Victoria Park,2021-04-17,03:31:39,Singapore,Moldova
Estadio Municipal Los Arcos,2021-04-04,17:39:49,Cambodia,North Korea
Estadio Municipal Los Arcos,2020-12-24,01:11:26,São Tomé and Príncipe,Republic of Abkhazia
Estadio Municipal Los Arcos,2020-12-31,10:41:07,Uganda,Benin
Estadio Municipal Los Arcos,2021-02-15,04:47:14,El Salvador,Afghanistan
Estadio Municipal Los Arcos,2021-02-07,08:22:05,Saint Kitts and Nevis,Cape Verde
Stadion Termaliki Bruk-Bet,2021-01-31,22:18:33,Curaçao,Kenya
Stadion Termaliki Bruk-Bet,2021-05-19,14:26:34,Ireland,Vietnam
Stadion Termaliki Bruk-Bet,2021-03-22,04:50:57,Tunisia,Kenya
Stadion Termaliki Bruk-Bet,2020-12-22,10:02:45,Uganda,Burkina Faso
Stadion Termaliki Bruk-Bet,2020-11-21,23:10:18,Costa Rica,North Korea
Stadion Termaliki Bruk-Bet,2021-02-10,18:24:48,Fiji,Faroe Islands
Stadion Termaliki Bruk-Bet,2021-03-04,20:36:52,Algeria,North Macedonia
Stadion Termaliki Bruk-Bet,2021-04-23,10:15:49,Denmark,Turkmenistan
Stadion Termaliki Bruk-Bet,2021-05-02,19:22:59,Albania,Taiwan
Stadion Termaliki Bruk-Bet,2021-02-26,15:36:42,Myanmar,Qatar
Kemal Kaynas Stadyum,2020-11-23,10:12:43,Brazil,Jordan
Kemal Kaynas Stadyum,2021-04-05,06:12:55,Bhutan,South Africa
Kemal Kaynas Stadyum,2021-04-14,02:27:01,Taiwan,United Kingdom
Kemal Kaynas Stadyum,2021-01-16,17:03:28,San Marino,Belarus
Kemal Kaynas Stadyum,2021-04-25,12:49:32,Burkina Faso,Jordan
Kemal Kaynas Stadyum,2020-12-01,06:18:28,Croatia,Qatar
Kemal Kaynas Stadyum,2021-02-17,00:50:34,Cape Verde,The Gambia
Kemal Kaynas Stadyum,2020-12-11,23:55:14,Bhutan,Bosnia and Herzegovina
Stade Jean Laville,2021-05-19,05:31:46,Malawi,Zimbabwe
Stade Jean Laville,2021-05-12,12:51:29,Uruguay,Tajikistan
Stade Jean Laville,2021-01-21,17:36:24,Fiji,Faroe Islands
Stade Jean Laville,2020-12-17,00:33:20,Nigeria,Afghanistan
Stade Jean Laville,2021-01-16,13:18:15,Egypt,Bhutan
Stade Jean Laville,2021-04-09,06:56:23,Azerbaijan,South Africa
Stade Jean Laville,2021-03-17,19:04:41,Oman,Cyprus
Hartsdown Park,2021-01-02,19:08:44,Ghana,United Arab Emirates
Hartsdown Park,2021-04-28,23:58:37,Fiji,South Korea
Hartsdown Park,2021-04-24,01:47:36,Cuba,France
Raydale Park,2021-04-08,13:24:42,Dominican Republic,Vietnam
Raydale Park,2021-02-28,02:10:29,South Korea,Burkina Faso
Raydale Park,2021-05-18,10:01:45,Netherlands,Kosovo
Raydale Park,2021-01-12,20:06:45,Ghana,South Africa
Raydale Park,2021-03-02,03:43:18,Sierra Leone,Gabon
Raydale Park,2021-04-16,21:57:49,North Macedonia,Benin
Raydale Park,2020-12-31,01:04:35,Nigeria,France
Raydale Park,2021-03-03,08:39:36,Panama,Indonesia
Raydale Park,2021-02-18,00:07:40,Myanmar,Libya
Raydale Park,2021-03-19,02:53:51,Tunisia,Luxembourg
Bastion Road,2021-05-15,16:31:32,Cyprus,Uganda
Bastion Road,2021-01-21,06:05:57,Afghanistan,Vietnam
Bastion Road,2020-12-22,08:14:03,Mali,Armenia
Bastion Road,2021-03-12,07:26:32,Cambodia,Georgia
Ashby Avenue,2021-05-16,10:26:35,Switzerland,Fiji
Ashby Avenue,2021-03-13,10:56:31,Kosovo,Tunisia
Ashby Avenue,2021-05-03,17:50:33,El Salvador,Latvia
"Christie Park, Huntly",2020-12-19,18:44:25,Liberia,Israel
"Christie Park, Huntly",2020-12-16,16:00:02,Republic of Abkhazia,Mexico
"Christie Park, Huntly",2021-01-19,20:36:18,Sweden,Antigua and Barbuda
"Christie Park, Huntly",2020-11-30,01:56:44,The Gambia,Uganda
The Haughs,2021-01-18,21:59:49,South Africa,Saint Vincent and the Grenadines
The Haughs,2021-05-18,22:36:42,Nepal,Uganda
The Haughs,2021-02-05,13:12:53,Paraguay,Austria
The Haughs,2021-01-16,04:33:53,Cambodia,Chile
The Haughs,2020-12-17,09:26:27,Canada,Cambodia
The Haughs,2021-01-08,21:59:08,Kyrgyzstan,United Arab Emirates
The Haughs,2021-01-18,08:41:24,Iran,Mali
Tuen Mun Tang Shiu Kin Sports Ground,2021-02-02,02:12:08,Kuwait,Bosnia and Herzegovina
Tuen Mun Tang Shiu Kin Sports Ground,2021-03-11,13:46:47,Iran,Antigua and Barbuda
Tuen Mun Tang Shiu Kin Sports Ground,2020-12-13,22:11:27,Sierra Leone,Singapore
Tuen Mun Tang Shiu Kin Sports Ground,2021-02-19,00:45:17,Uganda,Finland
Tuen Mun Tang Shiu Kin Sports Ground,2021-05-15,02:44:02,Colombia,Grenada
Tuen Mun Tang Shiu Kin Sports Ground,2021-03-27,12:40:35,North Macedonia,United States of America
Hásteinsvöllur,2021-01-15,07:54:40,Republic of Abkhazia,Ukraine
Hásteinsvöllur,2021-03-16,16:11:58,Israel,Zambia
Hásteinsvöllur,2021-04-09,05:46:10,Jordan,Botswana
Hásteinsvöllur,2021-02-28,19:12:59,Albania,British Virgin Islands
Hásteinsvöllur,2020-12-25,08:08:14,Egypt,Mexico
Hásteinsvöllur,2021-05-19,03:27:51,Albania,Czech Republic
Hásteinsvöllur,2021-03-04,19:45:38,Venezuela,Romania
Hásteinsvöllur,2021-04-03,03:16:44,South Africa,Estonia
Hásteinsvöllur,2021-03-13,19:59:43,Saint Lucia,Grenada
Kohtla-Järve Spordikeskuse staadion,2020-11-30,13:52:30,Kenya,Mali
Kohtla-Järve Spordikeskuse staadion,2021-02-06,22:15:11,Ethiopia,North Macedonia
Kohtla-Järve Spordikeskuse staadion,2021-03-16,13:00:47,Rwanda,Ukraine
Kohtla-Järve Spordikeskuse staadion,2021-01-30,21:33:11,Bulgaria,Curaçao
Kohtla-Järve Spordikeskuse staadion,2020-12-09,11:03:26,Eritrea,Venezuela
Kohtla-Järve Spordikeskuse staadion,2021-03-11,01:13:38,Kosovo,Botswana
Kohtla-Järve Spordikeskuse staadion,2020-12-12,21:22:33,Greece,United Kingdom
Kohtla-Järve Spordikeskuse staadion,2021-03-26,21:21:44,Gabon,Kosovo
Kohtla-Järve Spordikeskuse staadion,2021-04-16,21:04:19,Guernsey,Angola
Kohtla-Järve Spordikeskuse staadion,2021-02-09,05:55:15,Dominican Republic,United States of America
Skalna Klet,2021-03-04,06:34:27,Botswana,Burundi
Skalna Klet,2020-12-20,14:05:44,Mexico,Czech Republic
Skalna Klet,2021-04-09,07:26:30,Serbia,Russia
Skalna Klet,2021-04-14,00:47:18,Mauritius,Mexico
Skalna Klet,2021-04-13,23:16:00,Paraguay,Tajikistan
Skalna Klet,2021-04-21,19:26:17,Lebanon,South Sudan
Zaqatala City Stadium,2021-03-04,16:55:58,Dominican Republic,Bangladesh
Zaqatala City Stadium,2021-02-05,19:48:48,Mexico,Angola
Zaqatala City Stadium,2021-01-11,07:49:39,Iran,United States of America
Zaqatala City Stadium,2021-03-13,13:54:35,Norway,Uzbekistan
Dr. Ir. Franklin Essed Stadion,2021-05-14,20:23:55,Kosovo,Armenia
Dr. Ir. Franklin Essed Stadion,2021-02-02,20:04:32,South Korea,Kyrgyzstan
Dr. Ir. Franklin Essed Stadion,2021-05-12,12:34:25,Bosnia and Herzegovina,Mali
Dr. Ir. Franklin Essed Stadion,2020-12-27,02:24:17,Malawi,Mongolia
Dr. Ir. Franklin Essed Stadion,2021-01-04,16:16:14,Poland,Burkina Faso
Clarence Seedorf Stadion,2021-01-10,16:12:38,Iraq,Ukraine
Clarence Seedorf Stadion,2021-01-28,13:35:04,Tunisia,Slovenia
Clarence Seedorf Stadion,2021-02-19,02:50:16,Mauritius,Japan
Clarence Seedorf Stadion,2021-01-06,09:20:37,Canada,Russia
Clarence Seedorf Stadion,2021-05-14,18:32:40,Guyana,Sudan
Clarence Seedorf Stadion,2021-04-23,17:35:08,Tunisia,Netherlands
Clarence Seedorf Stadion,2021-02-11,07:51:54,Oman,Nepal
Clarence Seedorf Stadion,2021-03-23,04:23:21,British Virgin Islands,Burundi
Baldiri Aleu Stadium,2021-01-23,03:21:09,Serbia,Australia
Baldiri Aleu Stadium,2020-11-27,12:57:32,Latvia,Argentina
Baldiri Aleu Stadium,2020-12-29,16:47:54,São Tomé and Príncipe,South Sudan
Baldiri Aleu Stadium,2021-05-03,06:02:39,Ghana,Liberia
Baldiri Aleu Stadium,2021-04-28,10:29:28,Austria,Tanzania
Baldiri Aleu Stadium,2020-12-03,08:04:42,Panama,Philippines
Valhalla IP,2021-04-07,07:43:47,State of Palestine,Morocco
Valhalla IP,2021-03-03,05:53:59,Dominica,Czech Republic
Valhalla IP,2021-04-27,10:13:21,Bulgaria,Libya
Valhalla IP,2021-02-10,04:20:08,Sri Lanka,Djibouti
Valhalla IP,2021-04-07,16:00:26,Tanzania,Bosnia and Herzegovina
Valhalla IP,2021-04-04,08:00:10,Curaçao,Qatar
Valhalla IP,2020-12-09,20:16:26,Morocco,Philippines
Valhalla IP,2021-03-27,11:38:46,Ireland,Bangladesh
Valhalla IP,2021-01-19,14:50:58,Denmark,Italy
Aukštaitija Stadium,2021-03-06,14:31:09,Sri Lanka,Hungary
Aukštaitija Stadium,2020-12-10,21:43:06,Panama,Malaysia
Aukštaitija Stadium,2021-05-15,18:33:59,Canada,Ethiopia
Aukštaitija Stadium,2021-04-08,00:03:11,Italy,South Korea
Aukštaitija Stadium,2021-01-12,03:31:03,Azerbaijan,Slovenia
Stade En Camée,2021-01-15,03:56:19,Cyprus,San Marino
Stade En Camée,2021-01-07,16:13:53,Kuwait,Ukraine
Stade En Camée,2021-04-05,10:12:48,Indonesia,Chile
Stade En Camée,2020-11-25,06:48:22,Morocco,Romania
Stade En Camée,2021-03-13,17:31:14,Australia,Brunei
Stadion Františka Kloze,2021-04-24,20:43:49,Saint Kitts and Nevis,Sierra Leone
Stadion Františka Kloze,2021-02-19,05:40:07,Jordan,Saudi Arabia
Stadion Františka Kloze,2020-12-24,15:06:05,Malawi,Oman
Stadion Františka Kloze,2021-05-08,19:36:48,Argentina,Tanzania
Stadion Františka Kloze,2021-04-04,02:34:23,San Marino,Afghanistan
Stadion Františka Kloze,2021-03-10,15:00:23,Tunisia,Bahrain
ŽŠD Ljubljana Stadium,2021-01-07,23:13:12,Grenada,Laos
ŽŠD Ljubljana Stadium,2021-03-13,10:14:57,Burundi,Panama
ŽŠD Ljubljana Stadium,2021-03-14,23:00:36,Burkina Faso,Saint Vincent and the Grenadines
ŽŠD Ljubljana Stadium,2021-02-09,23:43:18,Saint Lucia,Sweden
ŽŠD Ljubljana Stadium,2020-12-30,15:13:06,Thailand,Papua New Guinea
ŽŠD Ljubljana Stadium,2021-01-12,07:40:35,Albania,Spain
ŽŠD Ljubljana Stadium,2020-12-14,03:14:46,Nigeria,Armenia
ŽŠD Ljubljana Stadium,2020-12-08,21:12:45,Canada,Bulgaria
ŽŠD Ljubljana Stadium,2021-05-14,18:22:45,Brazil,Malaysia
ŽŠD Ljubljana Stadium,2021-04-20,19:51:36,People's Republic of China,Brazil
Gabala City Stadium,2021-01-25,21:49:14,Nicaragua,Mauritania
Gabala City Stadium,2021-04-11,09:10:09,Cuba,Kazakhstan
Gabala City Stadium,2021-02-16,08:46:25,Bahrain,Uganda
Gozo Stadium,2020-12-18,09:21:14,Cambodia,Sweden
Gozo Stadium,2021-04-14,21:39:41,Iceland,Slovakia
Gozo Stadium,2021-03-31,01:18:47,Finland,Russia
Gozo Stadium,2020-12-01,08:31:23,Portugal,The Gambia
Gozo Stadium,2021-04-27,15:06:02,Faroe Islands,Singapore
Gozo Stadium,2020-12-17,05:19:28,Tajikistan,Switzerland
Gozo Stadium,2021-03-16,20:58:58,Zambia,Dominican Republic
Gozo Stadium,2021-01-02,12:03:21,Belarus,Afghanistan
Gozo Stadium,2021-03-20,03:38:39,Norway,Lebanon
Gozo Stadium,2021-02-18,15:39:17,Ivory Coast,United Arab Emirates
Estadio Federico Schwager,2021-04-11,00:33:12,Lebanon,South Korea
Estadio Federico Schwager,2021-01-26,13:14:18,Hungary,Russia
Estadio Federico Schwager,2021-02-26,15:02:40,Iran,Libya
Estadio Federico Schwager,2021-02-25,00:29:56,Faroe Islands,Thailand
Estadio Federico Schwager,2021-05-12,06:22:10,Brunei,Germany
Estadio Federico Schwager,2021-01-05,05:13:18,Azerbaijan,Uzbekistan
Estadio Federico Schwager,2020-12-20,21:27:11,The Gambia,Turkmenistan
Estadio Federico Schwager,2021-01-14,00:17:48,Ecuador,Burundi
Estadio Carlos Ugalde Álvarez,2021-04-16,11:46:45,Czech Republic,Netherlands
Estadio Carlos Ugalde Álvarez,2021-02-20,04:40:47,Switzerland,Belarus
Estadio Carlos Ugalde Álvarez,2021-05-01,12:48:26,Sierra Leone,Morocco
Estadio Carlos Ugalde Álvarez,2021-03-03,17:04:02,Peru,Liberia
Estadio Carlos Ugalde Álvarez,2020-12-23,20:53:50,Hungary,Oman
Estadio Carlos Ugalde Álvarez,2021-02-03,05:32:28,Armenia,Lithuania
Estadio Carlos Ugalde Álvarez,2021-02-08,13:28:32,Tajikistan,Cape Verde
Vesturi á Eiðinum Stadium,2021-02-10,23:00:46,Antigua and Barbuda,Libya
Vesturi á Eiðinum Stadium,2021-02-22,15:50:56,Antigua and Barbuda,Benin
Vesturi á Eiðinum Stadium,2020-11-26,04:40:18,Philippines,Suriname
Vesturi á Eiðinum Stadium,2021-03-30,18:00:59,Switzerland,Burundi
Vesturi á Eiðinum Stadium,2021-03-26,07:58:45,South Korea,Gabon
Vesturi á Eiðinum Stadium,2020-12-17,21:56:58,Nicaragua,India
Vesturi á Eiðinum Stadium,2021-02-10,13:44:53,Romania,Mexico
Vesturi á Eiðinum Stadium,2021-04-02,08:21:18,India,Australia
Vesturi á Eiðinum Stadium,2021-01-21,14:54:52,Cape Verde,State of Palestine
Vesturi á Eiðinum Stadium,2021-02-14,11:00:08,Angola,Fiji
Suzuka Sports Garden,2021-03-23,18:27:03,Benin,Laos
Suzuka Sports Garden,2021-04-16,04:59:14,Belarus,Armenia
Suzuka Sports Garden,2021-05-08,22:43:43,Ivory Coast,South Sudan
Suzuka Sports Garden,2021-05-18,10:03:50,Ethiopia,Portugal
Suzuka Sports Garden,2021-03-07,19:28:12,Uzbekistan,Eritrea
Estadio Cerro del Espino,2021-05-01,07:38:48,Saudi Arabia,France
Estadio Cerro del Espino,2021-04-10,15:31:51,Costa Rica,Iraq
Estadio Cerro del Espino,2020-12-06,03:00:48,Lithuania,Myanmar
Estadio Cerro del Espino,2021-05-16,20:47:04,Vietnam,Jordan
Estadio Cerro del Espino,2020-12-07,11:17:06,Czech Republic,Burundi
Estadio Cerro del Espino,2021-05-10,19:34:39,Guatemala,Lebanon
Estadio Cerro del Espino,2021-02-03,17:06:45,Montenegro,Kenya
Estadio Merkatondoa,2021-04-03,11:35:58,Vietnam,Italy
Estadio Merkatondoa,2021-02-07,17:18:31,Bahrain,Morocco
Estadio Merkatondoa,2020-12-23,07:41:12,Mauritius,Montenegro
Estadio Merkatondoa,2021-03-27,06:39:36,Kosovo,Colombia
Estadio Merkatondoa,2020-12-22,01:31:14,Tanzania,Thailand
Estadio Merkatondoa,2021-05-16,06:19:04,Nepal,Cuba
Estadio Merkatondoa,2021-04-30,11:54:43,Antigua and Barbuda,São Tomé and Príncipe
Estadio Merkatondoa,2021-03-10,11:36:50,San Marino,Lithuania
Estadi Palamós Costa Brava,2020-12-28,04:13:50,United States of America,Azerbaijan
Estadi Palamós Costa Brava,2021-04-07,23:09:07,Uruguay,Belgium
Estadi Palamós Costa Brava,2020-11-22,18:26:30,Estonia,Spain
Alytus Stadium,2020-12-01,01:30:32,Romania,Denmark
Alytus Stadium,2021-03-04,16:11:14,San Marino,Azerbaijan
Alytus Stadium,2021-02-09,20:14:29,Japan,Czech Republic
Haarlem Stadion,2021-05-11,19:37:20,Gabon,Poland
Haarlem Stadion,2020-12-11,17:17:15,Switzerland,Cyprus
Haarlem Stadion,2021-04-10,03:49:20,Democratic Republic of the Congo,Kazakhstan
Haarlem Stadion,2021-05-18,18:56:18,Bhutan,Libya
Haarlem Stadion,2021-05-01,16:03:07,Eritrea,Botswana
Haarlem Stadion,2021-02-01,14:45:23,Fiji,Paraguay
Haarlem Stadion,2020-11-29,08:52:20,Eritrea,Bolivia
Haarlem Stadion,2020-12-08,02:25:34,Uzbekistan,Curaçao
Haarlem Stadion,2021-04-27,09:17:02,Turkey,United Arab Emirates
Imperial Fields,2021-05-06,05:47:13,Tajikistan,Vietnam
Imperial Fields,2020-11-23,06:56:19,Vietnam,Nigeria
Imperial Fields,2020-12-22,00:46:33,Mali,Turkmenistan
Imperial Fields,2021-02-19,01:33:35,Croatia,Ireland
Imperial Fields,2021-04-02,07:52:31,Uruguay,Australia
Imperial Fields,2021-01-19,17:28:13,Czech Republic,Nepal
Imperial Fields,2021-05-14,15:51:54,South Sudan,Libya
Imperial Fields,2021-03-19,05:10:42,Slovenia,Eritrea
Imperial Fields,2020-12-18,23:38:50,Ireland,Somalia
Forthbank Stadium,2021-03-15,10:01:18,Singapore,Italy
Forthbank Stadium,2021-04-04,12:14:36,Zimbabwe,Costa Rica
Forthbank Stadium,2021-02-19,16:25:09,Republic of Abkhazia,Argentina
Forthbank Stadium,2021-05-10,19:35:07,Faroe Islands,Bhutan
Forthbank Stadium,2021-03-22,09:42:00,Mauritania,Iraq
Forthbank Stadium,2021-05-05,08:42:19,Zimbabwe,Moldova
Ochilview Park,2021-01-09,20:01:28,Malaysia,Belarus
Ochilview Park,2021-01-31,11:35:03,Bahrain,Benin
Ochilview Park,2021-04-30,02:06:17,State of Palestine,Georgia
Ochilview Park,2021-05-11,06:32:57,Cuba,Azerbaijan
Ochilview Park,2021-03-25,00:36:40,Ethiopia,Moldova
Ochilview Park,2020-12-27,08:10:03,Bolivia,Netherlands
Ochilview Park,2020-12-06,15:15:52,Germany,Somalia
Ochilview Park,2021-03-14,12:39:43,Lebanon,Saint Vincent and the Grenadines
Estádio Conselheiro Galvão,2021-02-20,19:08:34,Mexico,Rwanda
Estádio Conselheiro Galvão,2021-05-05,14:59:21,Colombia,Benin
